"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","1","0","0","0","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","15","5","1","0","43","5","0","0","29","0","0","0","3","0","0","0","0","0","0","0"
"1歳","66","1","5","6","143","33","1","2","26","1","0","3","4","0","0","0","0","0","1","0"
"2歳","79","1","4","10","102","35","1","0","4","0","0","4","0","1","0","0","0","0","0","0"
"3歳","91","0","5","27","90","22","2","4","1","0","1","6","0","0","0","0","0","0","0","0"
"4歳","187","0","6","56","105","26","0","4","0","0","0","13","0","0","0","0","0","0","0","0"
"5歳","255","0","3","60","80","27","1","7","1","0","0","14","0","0","0","0","0","0","0","0"
"6歳","342","1","1","51","95","14","0","1","0","0","0","14","0","0","0","0","0","0","0","0"
"7歳","394","0","0","51","73","6","1","2","0","0","0","10","0","0","0","1","0","0","0","0"
"8歳","412","0","2","32","67","5","2","0","0","0","0","2","1","0","0","0","0","0","0","0"
"9歳","312","0","0","22","35","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0"
"10〜14歳","760","0","0","42","94","4","0","0","1","0","0","4","0","0","0","0","0","0","0","0"
"15〜19歳","93","0","0","2","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","70","0","0","13","151","1","0","0","0","1","0","1","2","0","0","1","0","0","0","0"
"30〜39歳","132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"40〜49歳","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"60〜69歳","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"70〜79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","3328","8","27","372","1102","181","8","20","64","2","1","73","10","1","0","10","1","0","2","3"
