"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","5","4","0","0"
"1〜4歳","0","0","0","0","0","0","1","10","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0","0"
"10〜14歳","1","0","0","0","0","0","2","2","0","0"
"15〜19歳","10","2","2","2","0","0","0","0","0","0"
"20〜24歳","27","6","5","5","2","1","0","0","0","0"
"25〜29歳","16","6","5","2","4","0","0","0","0","0"
"30〜34歳","15","7","9","1","1","0","1","1","0","0"
"35〜39歳","6","1","4","0","0","0","0","1","0","0"
"40〜44歳","7","5","0","1","0","0","0","0","0","0"
"45〜49歳","1","4","0","0","0","0","2","0","0","0"
"50〜54歳","0","2","0","0","0","0","0","0","0","0"
"55〜59歳","0","2","0","0","0","0","0","0","0","0"
"60〜64歳","0","0","0","0","0","0","3","2","1","0"
"65〜69歳","0","1","0","0","0","0","1","0","0","0"
"70歳以上","0","2","0","0","0","0","11","4","0","0"
"合計","83","38","25","11","7","1","27","24","1","0"
