"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","14","9","1"
"1〜4歳","0","0","0","0","0","0","6","39","0"
"5〜9歳","0","0","0","0","0","0","2","5","0"
"10〜14歳","0","0","0","0","0","0","0","2","0"
"15〜19歳","21","2","5","9","4","0","1","0","0"
"20〜24歳","65","11","10","23","7","0","1","1","1"
"25〜29歳","42","20","6","21","5","0","1","1","1"
"30〜34歳","33","10","8","15","3","1","4","1","0"
"35〜39歳","27","11","9","16","5","0","6","0","0"
"40〜44歳","12","7","3","6","2","1","4","0","0"
"45〜49歳","17","7","3","3","2","0","3","1","1"
"50〜54歳","4","5","2","1","2","1","5","1","0"
"55〜59歳","1","3","1","2","0","0","6","0","1"
"60〜64歳","0","1","0","2","0","0","12","0","0"
"65〜69歳","2","0","0","0","0","0","18","1","0"
"70歳以上","0","3","0","0","0","0","72","10","1"
"合計","224","80","47","98","30","3","155","71","6"
