"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","8","4","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0"
"〜1歳","33","3","4","3","53","5","5","0","16","0","0","1","2","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1"
"1歳","100","5","15","10","199","7","31","3","29","0","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"2歳","104","3","14","26","136","7","42","0","10","3","0","0","1","0","0","0","0","0","0","0","3","0","0","1","0","0","2","1"
"3歳","133","3","13","44","94","3","14","3","1","1","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","1"
"4歳","207","2","10","66","113","10","32","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","231","0","12","77","103","19","19","1","0","2","1","0","2","0","0","0","0","1","0","0","3","0","0","0","0","0","3","0"
"6歳","264","1","5","58","79","15","5","0","1","2","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","2","0"
"7歳","303","0","2","92","67","23","6","2","0","0","2","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","2","0"
"8歳","261","0","5","53","48","13","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"9歳","257","0","0","39","45","16","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","764","0","2","71","107","15","5","3","0","1","1","0","0","0","2","0","0","1","0","0","6","1","0","0","0","0","5","0"
"15〜19歳","131","0","0","3","16","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","123","0","0","6","75","1","0","0","0","6","0","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","168","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","0","1","0"
"40〜49歳","259","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","142","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0"
"60〜69歳","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"70〜79歳","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","2","1","0","4","2"
"80歳以上","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","3582","21","82","548","1146","135","163","14","58","18","7","3","5","0","7","1","1","9","0","0","39","2","1","5","1","1","32","5"
