"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","25","10","3","1","6","49","4","42","19","2","0","4","1","0","0","2","0","0","4","0","0","2","2","","","","","",""
"区南部","22","18","3","2","15","58","1","13","16","1","1","1","2","0","0","0","0","0","1","0","0","0","2","","","","","",""
"区西南部","33","32","2","1","10","24","1","33","7","4","1","0","2","1","0","3","0","1","4","0","0","1","1","","","","","",""
"区西部","46","31","0","0","25","45","1","31","23","4","0","0","0","1","0","0","0","0","9","0","0","1","4","","","","","",""
"区西北部","63","38","7","2","24","56","2","70","38","4","1","0","1","0","0","2","0","0","6","0","0","0","1","","","","","",""
"区東北部","39","22","7","1","23","35","1","58","12","5","3","1","1","1","0","0","0","0","2","0","0","0","0","","","","","",""
"区東部","38","45","2","2","20","29","5","51","31","3","3","1","2","0","0","1","0","0","6","0","0","1","0","","","","","",""
"西多摩","13","6","0","0","2","4","1","9","2","0","0","0","0","0","0","0","0","0","7","0","0","1","2","","","","","",""
"南多摩","61","38","2","1","38","62","1","92","36","1","1","1","1","0","0","0","0","0","0","0","0","1","3","","","","","",""
"北多摩西部","13","13","1","0","11","18","2","14","15","2","0","0","0","0","0","0","0","0","1","0","0","0","1","","","","","",""
"北多摩南部","29","25","3","1","27","37","1","56","23","2","0","1","0","1","0","0","0","1","14","0","0","1","2","","","","","",""
"北多摩北部","26","19","1","2","41","26","3","47","19","6","1","0","1","0","0","0","0","0","3","0","0","2","1","","","","","",""
"島しょ","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","408","297","31","13","242","443","23","517","241","34","11","9","11","4","0","8","0","2","57","0","0","10","19","","","","","",""
