"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","22","6","8","10","123","23","1","1","7","1","0","3","0","0","0","4","1","1","0","0","0","","","","","",""
"区南部","10","9","2","34","246","16","0","2","7","0","0","5","0","1","0","0","0","0","0","0","0","","","","","",""
"区西南部","3","2","16","33","231","23","4","1","2","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"区西部","7","3","2","21","201","15","0","0","7","0","1","8","1","0","0","2","0","0","3","0","0","","","","","",""
"区西北部","11","2","1","13","257","31","2","2","12","0","2","4","0","0","0","1","0","0","1","0","0","","","","","",""
"区東北部","19","14","7","30","293","31","2","0","4","0","0","4","1","0","0","0","0","0","5","0","0","","","","","",""
"区東部","46","13","10","39","403","44","2","1","10","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","3","1","13","46","20","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"南多摩","13","6","6","71","475","104","2","11","8","2","2","12","3","0","0","2","0","0","0","0","0","","","","","",""
"北多摩西部","1","3","0","14","91","31","3","3","3","0","0","4","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","11","6","6","45","161","34","0","10","4","1","1","0","0","0","0","0","0","0","5","0","0","","","","","",""
"北多摩北部","1","4","4","42","195","17","3","0","10","0","0","2","2","0","0","0","0","0","2","0","0","","","","","",""
"島しょ","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","145","71","63","366","2722","389","19","32","74","4","6","46","8","1","0","10","1","1","17","0","0","","","","","",""
