"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","0","0","0"
"1〜4歳","0","0","0","0","0","0","4","3","0","0"
"5〜9歳","0","0","0","0","0","0","3","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","3","1","0","2","0","0","7","0","0","0"
"20〜24歳","9","5","7","17","0","0","0","0","0","0"
"25〜29歳","19","5","5","12","0","1","0","1","0","0"
"30〜34歳","19","4","8","10","0","1","1","0","0","0"
"35〜39歳","15","14","3","13","0","1","1","0","0","0"
"40〜44歳","12","13","7","10","0","0","1","0","0","0"
"45〜49歳","9","10","3","9","1","0","1","0","0","0"
"50〜54歳","3","9","1","1","0","1","0","0","0","0"
"55〜59歳","1","1","1","5","0","1","0","0","1","0"
"60〜64歳","1","3","2","0","0","0","2","0","0","0"
"65〜69歳","2","3","1","2","0","0","4","2","0","0"
"70歳以上","0","1","0","0","0","0","17","7","2","0"
"合計","93","69","38","81","1","5","49","14","3","0"
