"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","1","60","0","0","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"中央区","2","1","133","0","3","3","21","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","0","3","164","1","0","10","12","3","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","","","","","","",""
"新宿区","1","8","193","1","0","15","12","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"文京","1","2","277","1","0","11","14","8","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"台東","4","5","216","0","1","8","24","1","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","1","5","88","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","","",""
"江東区","1","2","478","4","2","15","65","3","0","0","4","1","0","1","0","0","3","0","0","0","0","0","0","0","","","","","","",""
"品川区","1","3","213","1","2","14","18","3","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","2","0","158","0","0","17","11","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","5","11","375","1","10","25","51","9","2","8","4","0","2","1","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"世田谷","6","7","604","0","1","35","39","6","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"渋谷区","2","2","105","0","0","0","1","3","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"中野区","1","5","462","1","1","20","26","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","0","7","285","0","6","23","34","3","0","0","3","0","0","0","0","0","0","0","0","1","0","1","0","0","","","","","","",""
"池袋","1","2","263","1","0","9","5","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","","","","","","",""
"北区","1","1","311","1","2","24","25","3","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","0","3","286","0","3","13","24","4","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"板橋区","1","6","323","0","1","5","22","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"練馬区","7","3","469","0","2","34","52","14","2","7","4","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"足立","2","11","561","3","11","14","37","1","1","17","5","0","1","0","3","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","2","7","307","0","1","21","27","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"江戸川","2","9","506","1","2","25","40","3","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"八王子市","3","8","1066","1","6","37","87","3","2","10","2","0","0","2","0","0","1","0","0","0","0","0","2","0","","","","","","",""
"町田市","1","1","908","2","1","54","67","10","0","3","5","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","0","7","148","0","0","9","11","6","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","","",""
"南多摩","0","8","352","0","1","10","13","2","0","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","1","8","481","1","1","40","26","7","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩府中","3","9","1028","1","3","59","64","16","1","4","3","0","1","2","0","0","1","0","0","1","0","0","0","2","","","","","","",""
"多摩小平","3","9","805","3","11","51","85","13","1","13","12","1","2","1","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"島しょ","0","0","11","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"合計","55","154","11636","24","71","607","924","140","18","94","60","7","14","10","5","0","9","0","0","4","1","2","2","14","","","","","","",""
