"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","6","0","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","18","0","3","2","19","12","1","1","15","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"1歳","45","0","0","3","54","37","2","0","10","0","0","1","1","3","1","0","0","0","0","0","0","0","0","0"
"2歳","67","0","4","1","42","21","0","1","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"3歳","62","0","1","1","34","21","0","1","0","0","0","0","1","3","1","0","0","1","0","0","0","0","0","0"
"4歳","61","0","2","7","44","26","0","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"5歳","29","0","0","4","24","14","0","2","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"6歳","37","0","0","2","16","6","2","3","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"7歳","26","0","0","5","18","6","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","33","0","0","4","6","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","24","0","0","0","5","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","73","0","1","1","31","6","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","62","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"20〜29歳","90","0","0","2","62","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"40〜49歳","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50〜59歳","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"60〜69歳","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"70〜79歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","850","0","11","32","373","162","6","12","27","0","1","1","3","24","6","1","0","12","0","0","0","1","0","0"
