"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","13","17","0","1","0","0","3","6","0","",""
"区南部","4","0","0","0","0","0","0","0","0","",""
"区西南部","4","11","7","0","0","0","0","0","0","",""
"区西部","9","7","7","2","3","0","14","4","0","",""
"区西北部","17","6","9","2","1","0","1","8","0","",""
"区東北部","1","0","1","0","0","0","3","1","0","",""
"区東部","12","1","2","1","1","1","0","3","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","15","1","1","1","5","0","0","0","0","",""
"北多摩西部","14","1","3","3","1","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","2","0","0","",""
"北多摩北部","2","0","0","0","0","0","1","3","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","91","44","30","10","11","1","24","25","0","",""
