"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","1","0"
"1〜4歳","0","0","0","0","0","0","2","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","1","1","1","0","0","0","2","0","0"
"20〜24歳","18","0","10","11","0","0","0","0","0"
"25〜29歳","34","7","15","11","0","0","1","0","0"
"30〜34歳","24","8","14","13","0","0","0","0","0"
"35〜39歳","23","7","7","13","0","0","0","0","0"
"40〜44歳","17","9","5","7","0","0","2","0","0"
"45〜49歳","8","3","5","5","0","0","2","0","0"
"50〜54歳","5","4","6","3","0","0","1","0","0"
"55〜59歳","2","3","4","1","0","0","1","0","0"
"60〜64歳","4","0","3","4","0","0","3","0","0"
"65〜69歳","2","0","1","2","0","0","5","0","0"
"70歳以上","2","1","0","1","0","0","23","1","0"
"合計","140","43","71","71","0","0","47","2","0"
