"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","26","35","12","20","0","2","8","1","1","0","",""
"区南部","6","4","2","2","0","0","0","0","0","0","",""
"区西南部","7","1","2","0","0","2","3","0","0","0","",""
"区西部","33","12","15","39","0","6","7","5","0","0","",""
"区西北部","9","5","6","6","0","0","6","3","0","0","",""
"区東北部","1","1","0","1","0","1","4","2","0","0","",""
"区東部","12","8","5","5","0","0","6","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","1","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","1","0","0","8","7","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","1","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","95","66","42","74","0","11","45","20","1","0","",""
