"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","6","52","714","7","2","13","67","2","7","1","2","16","0","1","0","0","2","0","0","0","1","0","0","4","","","","","","",""
"区南部","1","53","520","35","7","20","45","1","8","3","4","9","1","0","0","0","0","0","0","1","0","0","0","1","","","","","","",""
"区西南部","2","72","785","20","4","9","42","1","5","2","3","13","1","5","0","0","3","0","0","0","0","0","0","7","","","","","","",""
"区西部","4","47","780","16","2","15","49","2","8","0","3","4","1","1","1","0","2","0","0","0","0","0","0","4","","","","","","",""
"区西北部","11","103","1026","18","3","24","86","9","15","0","6","27","0","1","0","0","5","0","0","1","1","0","0","2","","","","","","",""
"区東北部","6","65","903","26","6","25","68","3","6","2","4","12","0","0","1","0","2","0","0","2","0","0","0","1","","","","","","",""
"区東部","19","74","1034","17","13","28","64","4","10","1","2","26","0","0","0","0","2","0","0","1","0","0","1","1","","","","","","",""
"西多摩","0","17","150","0","0","9","15","2","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","1","","","","","","",""
"南多摩","11","115","1931","23","5","49","121","7","7","19","14","41","2","4","1","0","0","0","0","0","0","0","0","2","","","","","","",""
"北多摩西部","7","36","410","5","1","19","19","0","0","1","2","15","0","2","0","0","1","0","0","0","0","0","0","5","","","","","","",""
"北多摩南部","4","64","951","19","0","21","46","1","5","0","2","15","2","2","0","0","1","0","0","1","0","0","0","4","","","","","","",""
"北多摩北部","10","46","686","15","2","15","67","2","4","3","3","15","0","0","0","0","0","0","0","3","0","0","0","8","","","","","","",""
"島しょ","0","4","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"合計","81","748","9912","201","45","247","689","34","75","32","45","193","8","16","3","0","18","0","0","11","2","0","1","41","","","","","","",""
