"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","8","2","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","24","0","0","0","24","1","0","0","16","1","0","0","1","0","0","0","0","0","0","0"
"1歳","91","2","4","8","73","21","0","0","18","0","0","0","1","0","0","0","0","0","0","0"
"2歳","90","0","4","11","43","25","1","1","4","1","0","3","0","0","0","0","0","0","0","0"
"3歳","133","0","4","7","39","12","0","2","0","0","0","6","0","0","0","0","0","0","0","0"
"4歳","173","0","1","33","38","13","1","3","0","0","0","5","0","0","0","0","0","0","0","0"
"5歳","197","0","1","23","38","15","2","2","0","0","0","4","0","0","0","1","0","0","0","0"
"6歳","200","0","1","26","39","3","0","2","0","0","0","6","0","0","0","0","0","0","0","0"
"7歳","199","0","1","18","28","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","185","0","0","17","25","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","122","0","0","7","16","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"10〜14歳","457","0","1","19","52","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"15〜19歳","120","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","125","0","0","9","64","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"30〜39歳","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"40〜49歳","137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"70〜79歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2524","4","17","179","491","103","4","15","39","3","1","26","2","0","0","5","0","0","0","1"
