"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","175","1","1","1","23","2","5","0","6","0","0","3","0","0","0","0","0","0","1","0","","","","","",""
"区南部","222","1","1","4","17","2","11","2","4","0","5","7","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","269","0","0","4","5","1","4","0","2","0","0","1","0","0","0","2","0","0","0","0","","","","","",""
"区西部","246","0","0","2","30","2","2","0","5","0","1","2","0","1","0","1","0","0","3","0","","","","","",""
"区西北部","337","0","0","2","14","2","2","1","3","0","1","1","1","0","0","1","0","0","0","0","","","","","",""
"区東北部","278","0","0","2","9","3","5","4","2","0","1","4","1","0","0","1","0","0","1","0","","","","","",""
"区東部","361","1","1","14","16","5","6","4","4","0","1","3","1","0","0","1","0","0","0","0","","","","","",""
"西多摩","96","0","1","1","5","1","2","0","1","0","0","3","0","0","0","1","0","0","0","0","","","","","",""
"南多摩","494","2","0","13","29","8","5","4","4","0","7","12","1","0","0","1","0","0","0","0","","","","","",""
"北多摩西部","131","0","0","0","4","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","294","0","0","1","2","0","4","0","3","0","0","2","0","0","0","1","0","0","1","0","","","","","",""
"北多摩北部","249","1","1","6","7","1","4","1","1","0","1","2","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3153","6","5","52","161","28","52","16","36","0","17","41","4","1","0","10","0","0","6","0","","","","","",""
