"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","130","113","243","41"
"性器ヘルペスウイルス感染症","39","59","98","41"
"尖圭コンジローマ","37","20","57","41"
"淋菌感染症","79","16","95","41"
"膣トリコモナス症","1","23","24","41"
"梅毒様疾患","4","0","4","41"
"メチシリン耐性黄色ブドウ球菌感染症","88","44","132","25"
"ペニシリン耐性肺炎球菌感染症","11","13","24","25"
"薬剤耐性緑膿菌感染症","5","1","6","25"
