"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","20","20","0","2","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","",""
"中央区","24","15","0","0","3","9","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","","","","","",""
"みなと","93","23","0","13","5","3","2","14","0","0","4","0","0","0","0","0","0","0","0","0","0","4","5","","","","","",""
"新宿区","62","24","0","6","3","7","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","14","","","","","",""
"文京","96","28","0","3","8","0","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","78","13","0","12","1","19","0","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","96","50","0","0","4","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","","","","","",""
"江東区","143","59","0","7","12","27","0","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","94","28","0","8","6","11","0","6","0","2","4","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","92","23","0","8","4","10","0","7","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"大田区","133","57","0","23","12","55","0","22","0","2","2","1","0","1","0","2","0","0","0","0","0","0","3","","","","","",""
"世田谷","248","75","0","36","16","20","0","14","2","2","4","1","1","0","0","6","0","0","0","0","0","5","3","","","","","",""
"渋谷区","29","28","1","1","3","4","0","0","0","0","3","1","0","0","0","3","0","0","0","0","0","0","5","","","","","",""
"中野区","146","33","0","3","8","26","0","7","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","170","41","3","15","1","16","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","","","","","",""
"池袋","60","33","0","6","0","0","0","5","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","","","","","",""
"北区","102","49","1","6","11","8","1","11","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"荒川区","76","21","1","5","9","4","2","6","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","117","59","0","7","6","12","0","3","0","0","4","0","2","0","0","0","0","0","0","0","0","1","4","","","","","",""
"練馬区","181","78","0","12","8","26","0","8","0","1","4","1","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"足立","131","72","0","11","9","35","1","7","0","2","6","0","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","132","34","0","9","4","10","1","2","0","1","0","0","0","0","0","1","0","0","0","0","0","2","1","","","","","",""
"江戸川","200","89","0","34","14","23","6","14","0","1","6","2","1","0","0","1","0","0","0","0","0","0","0","","","","","",""
"八王子市","177","84","1","12","28","55","0","36","1","0","10","0","1","0","0","5","0","0","0","0","0","0","2","","","","","",""
"町田市","102","42","0","11","10","18","0","6","1","4","0","1","2","0","0","1","0","0","0","0","0","0","0","","","","","",""
"西多摩","49","35","1","3","0","3","0","12","0","1","1","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"南多摩","85","45","0","6","3","16","0","6","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","109","70","0","2","20","23","1","7","0","3","5","2","1","0","0","0","0","0","0","0","0","0","3","","","","","",""
"多摩府中","412","136","0","13","33","34","3","20","0","2","3","2","8","0","0","1","0","0","0","0","0","2","13","","","","","",""
"多摩小平","215","83","2","10","28","53","1","26","0","3","8","1","2","0","0","0","0","0","0","0","0","1","7","","","","","",""
"島しょ","1","8","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"合計","3673","1455","10","284","269","534","19","264","5","33","77","16","19","1","1","30","0","0","0","1","0","20","79","","","","","",""
