"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","0","0","0"
"1〜4歳","0","0","0","0","0","0","3","9","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","5","0","0","3","0","0","1","0","0","0"
"20〜24歳","15","3","1","15","0","0","1","0","0","0"
"25〜29歳","25","10","7","18","0","1","1","0","0","0"
"30〜34歳","23","9","13","13","0","2","0","0","0","0"
"35〜39歳","9","11","12","14","0","1","2","0","0","0"
"40〜44歳","10","9","9","8","0","1","1","0","0","0"
"45〜49歳","7","10","11","2","0","1","2","0","0","0"
"50〜54歳","2","6","4","3","0","0","0","0","0","0"
"55〜59歳","2","4","2","2","0","0","2","0","1","0"
"60〜64歳","1","4","1","0","0","0","2","1","0","0"
"65〜69歳","0","1","0","0","0","0","6","0","1","0"
"70歳以上","0","3","1","0","0","0","22","7","3","0"
"合計","99","70","61","78","0","6","48","17","5","0"
