"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","6","0","0","21","2","0","0","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","11","1","0","154","10","2","0","32","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","2","27","8","3","388","16","9","0","32","0","2","4","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","2","8","10","10","301","27","12","0","4","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","6","2","17","14","275","40","6","0","1","1","1","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"4歳","8","2","15","26","304","30","8","1","2","0","1","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","4","0","9","45","257","19","4","1","0","0","0","5","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"6歳","8","1","4","34","194","14","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","9","0","5","44","160","10","1","0","0","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","7","0","3","36","142","9","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","6","0","1","11","114","0","1","2","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","25","0","4","39","316","5","1","1","0","0","0","2","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"15〜19歳","3","0","1","1","103","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","10","0","4","20","695","0","1","0","0","3","2","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"40〜49歳","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0"
"50〜59歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","1","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","134","57","82","283","3424","182","47","6","73","5","10","32","10","1","0","10","0","0","15","0","2","0","0","0","0","0","2","0"
