"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","4","3","8","44","1","3","1","8","0","0","8","0","1","0","1","0","0","4","0","","","","","",""
"区南部","0","6","1","9","42","3","7","5","5","0","1","3","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","5","1","1","2","28","4","8","0","1","0","1","9","1","0","0","0","0","0","0","0","","","","","",""
"区西部","2","8","1","7","85","2","5","0","3","0","1","7","0","1","0","2","0","0","1","0","","","","","",""
"区西北部","0","0","2","3","33","5","5","1","5","0","1","4","0","1","0","1","0","0","0","0","","","","","",""
"区東北部","2","2","0","6","19","7","1","1","3","0","2","12","1","0","0","1","0","0","1","0","","","","","",""
"区東部","0","3","5","14","29","15","5","0","2","0","1","3","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","1","0","2","17","0","2","0","0","0","1","1","0","0","0","0","0","0","1","0","","","","","",""
"南多摩","5","7","0","32","63","18","9","1","8","0","5","12","4","0","0","1","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"北多摩南部","1","0","0","4","13","6","2","0","2","0","0","0","0","0","0","0","0","0","2","0","","","","","",""
"北多摩北部","1","28","3","3","25","4","6","0","1","0","0","1","2","0","0","1","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","16","60","16","91","399","65","54","9","38","0","13","60","8","3","0","8","0","0","9","0","","","","","",""
