"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","42","2","1443","17","0","0","13","1","1","0","1","0","0","1","0","0","0","0","1","0","0","0","3","0","1","1","1","0","1","2","1","0","0","0"
"〜1歳","91","4","*","12","1","1","74","3","3","0","9","1","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","1","0","0","0","0"
"1歳","479","19","9878","18","8","11","170","2","16","3","28","7","0","2","3","0","0","0","0","1","0","1","11","0","1","0","4","1","1","6","4","0","0","0"
"2歳","624","10","*","8","5","27","124","1","4","4","16","4","0","2","2","0","1","0","0","0","0","0","8","1","2","2","4","0","2","4","4","0","0","1"
"3歳","729","10","*","2","4","51","114","5","6","7","3","5","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"4歳","1134","7","*","2","3","65","122","8","2","10","0","3","0","3","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","6","0","0","0","1"
"5歳","1291","10","11057","0","4","71","90","5","2","5","0","0","3","0","0","0","1","0","0","1","1","0","5","0","0","0","0","0","0","5","0","0","0","0"
"6歳","1302","10","*","0","2","72","107","12","1","4","0","1","1","0","0","0","0","0","0","2","0","0","9","0","1","1","1","0","0","7","1","0","0","0"
"7歳","1296","9","*","0","2","73","83","4","0","1","0","2","1","0","0","0","0","0","0","1","0","1","7","0","1","0","3","1","1","4","3","0","0","0"
"8歳","1182","13","*","2","0","67","82","8","0","2","0","3","4","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","0","2","0","0","0","1"
"9歳","991","6","*","2","1","56","78","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","1","0","0","2","0","0","5","2","0","0","1"
"10〜14歳","4080","29","6730","2","2","120","193","26","3","3","1","1","0","0","0","0","1","0","0","6","0","0","13","0","1","0","3","0","0","10","3","0","0","0"
"15〜19歳","1655","13","2834","0","0","8","39","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","6","0","0","0","0"
"20〜29歳","1056","33","2045","0","0","20","138","1","0","1","0","0","0","1","0","0","2","0","0","2","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"30〜39歳","865","29","2063","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"40〜49歳","916","44","2195","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"50〜59歳","537","52","1629","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","1","3","0","0","0","0","0","1","0","0","0","3"
"60〜69歳","235","42","973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","3","0","0","0","2"
"70〜79歳","146","37","783","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","16","6","0","0","2","0","1","13","3","0","0","6"
"80歳以上","56","37","392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","25","17","0","1","3","0","0","21","3","1","0","16"
"合計","18707","416","42022","65","32","642","1427","83","38","41","58","27","9","10","6","1","18","0","2","16","2","2","133","32","8","6","23","2","6","105","24","1","0","31"
