"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","12","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"中央区","2","17","0","0","0","6","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","1","13","4","1","11","2","3","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","5","26","5","4","2","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","6","21","1","2","1","9","1","0","0","1","4","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","6","12","3","3","7","31","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","3","24","6","1","1","10","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","10","18","5","0","5","33","2","4","0","2","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","22","9","2","2","8","15","0","2","0","1","11","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"目黒区","10","23","1","0","5","21","0","2","0","1","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","13","25","11","6","26","80","1","1","0","4","8","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","22","65","7","1","21","69","4","3","0","4","15","10","2","0","0","1","0","0","0","0","0","1","","","","","",""
"渋谷区","11","7","1","0","2","12","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","20","18","5","1","12","20","2","4","0","3","2","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"杉並","10","25","1","1","6","41","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","8","34","4","2","3","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","6","38","1","3","8","30","0","5","0","1","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","7","27","12","3","3","17","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","26","35","2","2","6","36","0","1","0","0","1","0","1","0","2","0","0","0","0","0","0","0","","","","","",""
"練馬区","51","35","17","3","14","41","0","1","0","3","5","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","1","27","3","8","4","63","0","6","0","0","11","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","7","13","2","0","6","49","1","2","0","0","9","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","3","39","13","4","12","35","0","1","0","0","31","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","20","36","3","8","17","116","0","4","0","4","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","7","15","3","0","6","39","0","1","0","4","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","10","16","0","2","3","9","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","3","22","2","3","11","28","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","4","29","6","6","12","33","0","1","0","1","2","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","78","97","7","6","25","81","2","1","0","9","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","24","48","14","10","10","92","4","3","0","8","36","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","397","832","145","83","247","1043","22","52","0","54","179","16","10","1","2","3","0","1","0","0","0","1","","","","","",""
