"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","85","2","5","8","67","10","1","1","8","0","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"区南部","82","1","1","16","102","7","0","5","6","0","1","1","1","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","102","1","2","27","101","13","0","0","5","0","0","1","3","0","0","2","0","1","0","0","4","","","","","",""
"区西部","125","5","0","10","86","4","1","0","3","1","0","1","0","0","0","0","0","0","1","0","1","","","","","",""
"区西北部","160","3","1","17","148","11","2","0","8","0","0","1","1","1","0","1","0","0","1","0","0","","","","","",""
"区東北部","149","1","3","22","113","7","2","2","11","0","1","2","0","0","0","1","0","0","1","0","0","","","","","",""
"区東部","161","4","6","36","158","11","1","0","10","0","1","3","0","0","0","2","0","0","0","0","1","","","","","",""
"西多摩","45","3","2","6","17","9","0","1","3","0","1","1","0","0","0","0","0","0","1","0","0","","","","","",""
"南多摩","161","2","7","68","159","25","1","2","10","0","1","2","2","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","54","0","0","10","76","3","0","3","4","0","0","1","1","0","0","1","0","0","0","0","0","","","","","",""
"北多摩南部","97","4","4","22","82","4","0","1","9","0","0","1","0","1","0","2","0","0","1","0","3","","","","","",""
"北多摩北部","84","1","2","26","57","8","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1307","27","33","269","1166","113","8","15","81","1","5","15","8","3","0","10","0","1","5","0","10","","","","","",""
