"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","83","247","4","5","10","29","1","31","0","5","5","2","0","0","0","1","0","0","0","0","0","2","","","","","",""
"区南部","85","182","2","11","14","40","2","9","0","4","6","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"区西南部","72","305","3","39","24","25","2","12","0","2","8","1","1","0","0","5","1","0","0","0","0","0","","","","","",""
"区西部","123","295","2","6","15","37","3","6","1","2","1","0","0","1","0","3","0","0","0","0","0","1","","","","","",""
"区西北部","144","515","5","9","30","47","4","19","1","6","23","0","2","0","1","2","0","0","0","0","0","0","","","","","",""
"区東北部","84","358","3","6","5","46","2","13","0","4","6","1","0","1","0","1","0","0","0","0","0","1","","","","","",""
"区東部","124","406","3","31","17","44","2","13","0","2","1","0","1","1","0","1","0","0","0","0","1","0","","","","","",""
"西多摩","13","81","0","1","1","10","0","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","127","383","1","9","15","68","2","14","1","4","13","3","2","0","0","2","0","0","0","0","0","1","","","","","",""
"北多摩西部","57","166","0","2","10","14","0","16","0","1","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","104","357","3","9","38","35","1","10","0","5","3","1","5","1","0","0","0","0","0","0","0","1","","","","","",""
"北多摩北部","104","226","4","2","21","33","1","9","0","5","9","0","0","0","0","1","0","0","0","0","0","1","","","","","",""
"島しょ","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1121","3540","30","130","200","428","20","156","3","41","82","8","11","4","1","16","1","0","0","0","1","8","","","","","",""
