"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","1","0","0"
"1〜4歳","0","0","0","0","0","0","6","9","0","0"
"5〜9歳","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","0","0","1","0","0","0"
"20〜24歳","5","2","6","11","0","0","0","0","0","0"
"25〜29歳","24","1","11","14","0","1","0","0","0","0"
"30〜34歳","25","7","7","17","0","4","0","0","0","0"
"35〜39歳","18","10","10","9","0","1","0","1","0","0"
"40〜44歳","11","13","7","10","0","1","0","1","0","0"
"45〜49歳","10","4","5","9","0","2","1","0","0","0"
"50〜54歳","3","8","3","3","0","1","2","0","0","0"
"55〜59歳","5","4","3","0","0","1","1","0","0","0"
"60〜64歳","3","2","1","0","0","1","1","2","0","0"
"65〜69歳","0","2","2","1","0","0","4","0","0","0"
"70歳以上","1","2","0","0","0","0","25","6","2","0"
"合計","105","55","55","74","0","12","45","20","2","0"
