"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","8","0"
"1〜4歳","0","0","0","0","0","0","3","17","0"
"5〜9歳","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","1","2","0","0","0","0","0"
"20〜24歳","20","2","7","8","3","0","1","0","0"
"25〜29歳","25","5","8","18","0","0","0","0","0"
"30〜34歳","20","7","12","16","0","2","4","2","0"
"35〜39歳","15","12","5","11","1","0","1","0","0"
"40〜44歳","10","3","5","2","0","2","1","0","0"
"45〜49歳","5","7","3","2","0","0","4","0","0"
"50〜54歳","2","1","1","4","0","0","2","0","0"
"55〜59歳","2","0","1","3","0","0","5","0","0"
"60〜64歳","1","1","0","0","0","0","4","1","0"
"65〜69歳","1","0","0","0","0","0","12","0","2"
"70歳以上","0","0","0","0","0","0","30","3","1"
"合計","101","38","43","66","4","4","72","31","3"
