"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","1","0","0","0","2"
"中央区","7","2","5","4","0","0","0","0","0","2","0"
"みなと","19","4","4","5","1","0","0","0","0","2","1"
"新宿区","46","10","10","24","0","0","30","6","1","5","2"
"文京","0","0","0","0","0","0","22","7","0","1","1"
"台東","27","22","5","3","16","0","0","0","0","4","0"
"墨田区","10","6","4","1","0","0","2","1","0","1","1"
"江東区","23","14","7","15","0","0","0","0","0","3","0"
"品川区","3","0","0","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","5","3","1","1","0","0","3","0","0","3","1"
"世田谷","0","0","0","0","0","0","10","0","0","0","2"
"渋谷区","12","1","1","2","0","0","9","0","0","3","2"
"中野区","6","2","0","1","0","0","0","0","0","1","1"
"杉並","0","0","0","0","0","0","0","0","0","0","1"
"池袋","30","10","12","14","1","1","19","1","0","3","1"
"北区","0","0","1","2","0","0","0","0","0","1","0"
"荒川区","1","0","0","0","0","0","0","0","0","1","0"
"板橋区","2","1","0","0","0","0","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","1","2","3","4","0","0","0","0","0","1","0"
"葛飾区","0","0","0","0","0","0","15","0","0","0","1"
"江戸川","0","0","0","0","0","0","0","0","0","0","0"
"八王子","17","2","1","0","5","0","5","0","1","3","1"
"町田市","0","0","0","0","3","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","13","1","3","18","0","0","0","0","0","2","1"
"多摩府中","2","0","0","2","0","0","0","0","0","1","2"
"多摩小平","0","0","0","0","0","0","26","4","0","0","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","1"
"合計","224","80","57","96","26","1","143","19","2","41","25"
