"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","37","1","0","3","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","59","5","0","28","3","143","0","15","0","23","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","129","4","5","79","6","393","3","35","0","73","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","49","10","14","35","0","203","0","4","0","48","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","4","14","8","17","19","1","117","1","1","0","29","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","2","4","11","17","29","3","69","3","0","0","23","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","0","1","5","13","26","3","42","5","0","0","5","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6歳","1","1","2","10","20","5","19","0","1","0","7","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","0","1","2","6","17","1","21","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","6","9","1","9","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","2","0","2","5","13","0","6","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","2","13","34","1","14","1","0","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","0","6","0","5","0","0","0","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","4","12","49","0","27","0","0","1","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","26","295","57","118","367","24","1077","15","56","2","229","16","13","2","0","14","0","0","6","0","0","3","0","0","0","0","0","3","0"
