"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","12","26","0","1","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中央区","20","9","1","0","9","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","46","41","0","0","5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","","","","","",""
"新宿区","64","49","1","1","11","21","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","3","","","","","",""
"文京","64","32","0","0","6","17","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","","","","","",""
"台東","41","27","2","0","9","29","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","68","73","0","1","4","17","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","",""
"江東区","81","53","0","1","10","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","75","48","0","2","10","28","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","51","25","0","1","9","15","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","184","95","0","5","34","93","1","0","0","2","0","1","0","1","0","1","0","0","0","0","0","0","6","","","","","",""
"世田谷","206","120","1","0","21","76","4","1","0","1","0","0","0","0","0","0","0","0","1","0","0","2","5","","","","","",""
"渋谷区","55","23","0","0","2","16","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","9","","","","","",""
"中野区","118","76","0","0","18","25","2","2","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"杉並","128","68","0","8","17","36","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","","","","","",""
"池袋","57","52","0","1","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","72","70","0","2","28","18","1","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","110","41","1","0","8","33","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","131","102","0","1","22","31","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","3","","","","","",""
"練馬区","200","116","0","0","26","41","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","150","122","0","9","26","45","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"葛飾区","129","77","0","1","14","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","",""
"江戸川","226","114","0","5","22","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","286","187","3","4","27","84","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","1","7","","","","","",""
"町田市","124","82","0","0","16","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","67","62","1","0","2","25","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","",""
"南多摩","86","99","0","1","4","21","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","223","131","0","0","52","65","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","6","","","","","",""
"多摩府中","393","215","0","4","50","116","2","0","1","2","0","2","0","1","0","1","0","0","1","0","0","5","6","","","","","",""
"多摩小平","279","164","0","9","36","87","0","0","1","4","0","1","1","0","0","0","0","0","0","0","0","0","8","","","","","",""
"島しょ","1","39","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3747","2438","10","57","503","1154","14","6","7","32","1","6","2","3","0","8","0","0","2","0","0","16","81","","","","","",""
