"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","8","0","0","2","16","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","21","3","1","3","29","1","0","0","2","0","0","10","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","24","2","2","2","33","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"文京","11","0","0","0","10","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","7","1","0","0","28","3","0","0","3","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","20","1","0","1","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"江東区","26","0","0","7","38","6","1","1","2","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"品川区","16","0","0","0","41","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"大田区","53","8","1","2","56","3","0","0","3","1","0","2","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","39","0","0","1","49","8","2","0","0","0","0","3","0","0","1","0","0","0","0","0","","","","","",""
"渋谷区","14","2","0","1","5","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","","","","","",""
"中野区","15","0","0","2","23","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"杉並","17","1","0","1","28","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","20","0","0","0","11","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北区","19","0","0","1","9","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","5","0","0","2","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","13","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","25","1","0","2","16","6","0","0","0","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"足立","26","0","0","4","29","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","","","","","",""
"葛飾区","22","0","0","0","31","6","1","4","2","0","0","5","0","0","0","0","0","0","0","2","","","","","",""
"江戸川","38","1","0","5","26","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","","","","","",""
"八王子市","40","1","1","12","74","11","0","2","4","0","0","7","0","0","0","2","0","0","0","0","","","","","",""
"町田市","43","0","0","11","38","19","0","1","3","0","0","7","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","24","2","0","0","16","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","26","2","0","1","21","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","38","0","0","0","31","3","0","0","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","65","0","0","1","19","1","0","1","2","0","0","5","0","0","0","0","0","0","1","0","","","","","",""
"多摩小平","63","11","1","2","42","4","0","0","3","0","0","14","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","761","36","6","63","768","98","6","12","32","1","0","83","2","0","1","7","0","0","1","2","","","","","",""
