"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","12","1","5","13","0","1","0","0","0","0","2","2"
"中央区","10","3","1","9","0","0","0","0","0","0","3","0"
"みなと","13","30","11","2","0","0","11","0","0","0","2","1"
"新宿区","41","15","36","33","0","5","10","3","0","0","7","2"
"文京","3","2","1","4","0","0","1","5","1","0","1","1"
"台東","5","2","0","0","0","0","0","0","0","0","2","0"
"墨田区","2","1","2","1","3","0","2","2","0","0","2","1"
"江東区","16","7","5","13","0","1","0","0","0","0","2","0"
"品川区","12","3","0","5","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","14","0","0","1","0","0","3","1","0","0","2","1"
"世田谷","0","0","0","0","0","0","3","0","0","0","0","2"
"渋谷区","6","11","4","0","1","0","0","0","0","0","4","1"
"中野区","2","1","1","0","0","0","0","0","0","0","2","1"
"杉並","5","1","1","0","0","0","2","0","0","0","2","1"
"池袋","23","8","7","12","0","1","2","8","1","0","3","1"
"北区","0","0","2","0","0","1","0","0","0","0","1","0"
"荒川区","1","0","0","0","0","0","0","0","0","0","1","0"
"板橋区","10","2","0","7","0","0","3","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","3","1","0","0","1","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","4","10","0","0","0","1"
"江戸川","9","3","1","3","0","0","0","0","0","0","2","0"
"八王子市","7","3","1","0","0","0","0","0","0","0","4","1"
"町田市","7","2","0","0","2","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","14","0","1","1","1","1","0","0","0","0","2","1"
"多摩府中","0","0","0","1","0","0","20","19","0","0","3","3"
"多摩小平","0","0","0","0","0","0","1","5","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","215","96","79","105","8","10","62","53","2","0","54","25"
