"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","0","4","7","3","0","12","0","9","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","7","15","6","3","48","2","84","0","11","11","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"1歳","2","18","29","20","14","62","1","302","0","25","68","0","3","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"2歳","1","10","15","9","19","44","0","196","3","8","32","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","1","5","9","12","35","56","0","79","8","2","20","1","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","2","6","4","8","56","59","3","77","9","1","22","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","1","4","4","5","54","58","0","42","11","0","12","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","3","3","0","3","71","49","1","18","9","0","7","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","2","2","0","4","43","44","0","20","5","0","6","3","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"8歳","3","5","0","3","53","38","6","3","3","0","2","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","1","5","0","1","30","34","4","5","2","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","7","73","0","6","61","93","11","5","5","0","9","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"15〜19歳","2","93","0","0","13","15","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","8","107","0","3","34","51","0","4","0","0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"30〜39歳","2","141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"40〜49歳","6","120","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","113","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","2"
"60〜69歳","1","81","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","1","3"
"70〜79歳","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","23"
"80歳以上","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","34","0","0","0","0","0","1","0","3","2","29"
"合計","42","889","83","83","486","663","31","845","55","48","192","18","10","2","0","6","1","1","10","0","1","1","74","0","0","0","0","0","1","0","7","4","64"
