"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","1","4","21","104","5","13","15","8","0","1","2","1","0","1","0","0","2","0","0","0","","","","","",""
"区南部","13","3","6","20","101","3","11","14","3","1","0","1","0","0","3","0","0","0","0","0","0","","","","","",""
"区西南部","13","3","3","17","85","3","9","16","5","2","0","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区西部","20","6","4","27","83","3","17","10","5","0","1","0","3","0","1","0","0","1","0","0","0","","","","","",""
"区西北部","10","1","1","38","83","10","10","26","5","1","1","1","0","0","2","0","0","1","0","0","0","","","","","",""
"区東北部","14","3","3","35","112","2","18","11","6","1","1","1","0","0","1","0","0","1","0","0","0","","","","","",""
"区東部","2","5","8","26","108","8","14","22","9","2","3","2","0","0","0","0","0","1","0","0","0","","","","","",""
"西多摩","3","2","1","10","6","1","3","10","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","3","6","9","38","111","13","19","40","4","1","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","14","1","0","28","19","1","7","6","1","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","2","2","2","30","70","5","6","25","3","4","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","3","4","2","55","51","2","7","28","7","1","1","1","0","0","0","0","0","0","0","1","0","","","","","",""
"島しょ","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","101","37","43","346","933","56","134","223","58","13","11","12","4","0","9","0","0","6","0","1","0","","","","","",""
