"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","7","2","0","10","0","0","0","0","0","0","",""
"中央区","11","2","1","2","0","0","0","0","0","0","",""
"みなと","7","34","8","3","0","1","15","1","0","0","",""
"新宿区","29","10","15","41","0","2","17","0","0","0","",""
"文京","6","1","2","1","0","0","3","0","0","0","",""
"台東","0","0","0","0","0","0","0","0","0","0","",""
"墨田区","2","0","1","1","0","0","1","2","0","0","",""
"江東区","11","2","3","4","0","1","0","0","0","0","",""
"品川区","0","0","2","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","3","0","0","0","0","0","3","0","0","0","",""
"世田谷","0","0","0","0","0","0","1","0","0","0","",""
"渋谷区","6","3","2","2","0","0","1","0","0","0","",""
"中野区","6","0","0","9","0","1","0","0","0","0","",""
"杉並","0","0","1","1","0","0","1","1","0","0","",""
"池袋","11","6","5","5","0","0","2","2","0","0","",""
"北区","0","0","1","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","2","1","0","1","0","0","1","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","6","0","2","3","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","4","0","0","",""
"江戸川","1","2","0","3","0","1","0","0","0","0","",""
"八王子市","1","0","0","0","0","0","0","0","1","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","0","",""
"多摩府中","2","0","0","1","0","0","13","14","0","0","",""
"多摩小平","0","0","0","0","0","0","2","3","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","111","63","43","87","0","6","63","27","1","0","",""
