"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","27","4","1","0","5","2","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","4","3","0","2","2","2"
"中央区","4","38","0","0","1","12","0","34","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","6","40","5","1","11","21","0","76","2","4","12","1","1","1","0","0","0","0","1","0","0","2","10","9","6","0","1","1","1"
"新宿区","1","60","2","11","17","20","1","31","0","2","4","0","2","0","0","2","0","0","0","0","0","0","6","12","8","2","2","2","2"
"文京","1","34","1","0","30","4","1","40","0","0","1","0","0","0","0","1","0","0","0","0","0","0","7","7","4","1","1","1","1"
"台東","4","25","4","2","17","38","0","60","0","3","7","1","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","2","74","8","1","11","25","0","42","0","1","2","0","0","0","0","0","0","0","0","0","0","0","9","8","5","1","1","1","1"
"江東区","2","77","1","4","24","46","0","165","4","2","32","0","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","4","33","4","0","17","24","1","54","0","2","27","0","0","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","1","33","2","0","10","10","3","44","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","1","104","21","9","18","83","1","148","10","5","51","2","1","0","0","0","0","0","0","0","0","0","4","21","13","2","1","1","1"
"世田谷","6","169","14","7","46","67","6","124","28","2","56","0","6","0","0","0","0","0","0","0","0","0","12","25","16","2","2","2","2"
"渋谷区","0","28","2","0","2","10","3","19","0","1","4","0","0","0","0","2","0","0","0","0","0","0","9","7","4","1","1","1","1"
"中野区","0","56","2","0","25","24","4","92","0","7","18","1","0","0","0","1","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","6","75","6","14","17","36","4","65","3","1","3","0","0","2","0","0","0","0","2","0","0","0","13","17","11","1","2","2","2"
"池袋","0","56","4","3","3","5","1","31","1","0","13","0","0","0","0","1","0","0","1","0","0","0","0","8","5","1","1","1","1"
"北区","2","74","4","6","34","18","0","60","4","1","10","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","0","57","5","4","30","23","0","45","1","3","14","0","1","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","3","107","1","3","20","14","1","33","1","4","6","1","1","0","0","1","0","0","0","0","0","0","5","16","10","2","1","1","1"
"練馬区","3","117","3","4","54","60","6","122","1","6","65","1","2","0","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","1","155","12","13","33","56","3","62","1","7","27","3","0","0","0","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","1","49","2","0","19","27","0","46","0","1","6","0","0","0","0","0","0","0","0","0","0","0","4","13","8","1","1","1","1"
"江戸川","7","131","3","6","33","47","3","150","0","8","73","3","1","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","1","119","6","9","78","71","0","210","1","6","46","5","0","0","0","0","0","0","0","0","0","0","12","18","11","2","1","1","1"
"町田市","1","58","2","0","30","50","0","82","1","2","33","3","0","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","0","53","2","2","12","13","0","61","2","1","6","1","0","0","0","0","0","0","0","0","0","0","9","14","8","1","1","1","1"
"南多摩","1","68","8","1","8","36","1","76","1","3","13","3","0","0","0","2","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","4","103","4","3","51","43","0","133","2","4","31","0","0","0","0","1","0","0","0","0","0","0","5","21","14","2","1","1","1"
"多摩府中","4","163","11","4","88","113","5","177","29","14","26","3","3","0","0","3","1","0","2","0","0","0","18","33","21","3","3","3","3"
"多摩小平","3","138","12","19","123","92","3","320","0","10","39","0","2","0","0","0","0","0","1","0","0","0","13","23","15","2","2","2","2"
"島しょ","0","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","1"
"合計","71","2339","158","127","862","1093","49","2609","92","100","632","29","21","3","0","15","1","0","7","0","0","2","140","419","264","39","25","25","25"
