"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","2","2","0","0"
"1〜4歳","0","0","0","0","0","0","6","8","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","5","2","4","4","0","0","1","0","0","0"
"20〜24歳","10","7","2","8","0","2","0","0","0","0"
"25〜29歳","38","9","10","14","0","1","0","0","0","0"
"30〜34歳","23","10","16","19","0","4","2","0","0","0"
"35〜39歳","17","9","16","22","0","3","1","0","0","0"
"40〜44歳","14","13","5","9","0","2","1","0","0","0"
"45〜49歳","7","9","4","1","0","0","0","0","0","0"
"50〜54歳","5","2","3","5","0","2","1","0","0","0"
"55〜59歳","2","1","0","0","0","1","1","0","0","0"
"60〜64歳","1","6","2","1","0","0","2","0","0","0"
"65〜69歳","1","1","2","0","0","0","0","0","0","0"
"70歳以上","0","4","2","0","0","0","19","5","0","0"
"合計","123","73","66","83","0","15","37","15","0","0"
