"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","7","0"
"1〜4歳","0","0","0","0","0","0","8","25","0"
"5〜9歳","0","0","0","0","0","0","2","3","0"
"10〜14歳","0","0","0","0","0","0","3","0","0"
"15〜19歳","7","1","2","2","1","0","0","1","0"
"20〜24歳","42","20","10","14","5","0","1","0","0"
"25〜29歳","38","12","10","20","0","2","1","1","0"
"30〜34歳","38","21","14","11","1","0","1","0","0"
"35〜39歳","24","13","8","13","2","1","3","2","0"
"40〜44歳","25","12","7","9","2","1","0","1","0"
"45〜49歳","9","8","3","2","1","0","2","0","0"
"50〜54歳","8","8","6","3","1","0","3","1","0"
"55〜59歳","4","4","0","1","0","0","4","1","0"
"60〜64歳","6","1","1","2","0","0","15","0","0"
"65〜69歳","4","1","1","0","0","0","6","2","0"
"70歳以上","0","3","0","0","0","0","73","10","1"
"合計","205","104","62","77","13","4","125","54","1"
