"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0","0"
"1〜4歳","0","0","0","0","0","0","2","0","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","1","0","0","0","0","0","0","0","0"
"15〜19歳","2","3","4","2","0","0","0","0","0"
"20〜24歳","21","6","15","1","1","0","0","0","0"
"25〜29歳","18","3","14","4","1","0","0","0","0"
"30〜34歳","7","3","9","1","0","0","2","0","0"
"35〜39歳","11","2","4","4","1","0","0","0","0"
"40〜44歳","2","1","2","2","0","0","1","0","0"
"45〜49歳","2","2","1","0","0","0","0","0","0"
"50〜54歳","2","3","0","0","1","0","0","0","0"
"55〜59歳","1","2","0","0","0","0","2","0","0"
"60〜64歳","0","0","0","0","0","0","1","0","0"
"65〜69歳","0","0","0","0","0","0","1","0","0"
"70歳以上","0","1","0","0","0","0","12","0","0"
"合計","67","26","49","14","4","0","23","0","0"
