"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","22","1","0","2","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","0","2","2","0"
"中央区","37","0","0","9","28","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","71","3","2","14","39","7","1","0","2","0","0","3","0","0","0","0","0","0","0","0","0","2","9","6","0","1","1","0"
"新宿区","56","1","1","14","30","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","4","12","8","2","2","2","0"
"文京","45","0","0","8","21","0","0","0","1","0","0","4","0","0","0","1","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","46","1","0","5","22","2","0","2","2","0","0","3","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","65","0","0","6","22","1","0","2","0","0","0","2","0","0","0","0","1","0","0","0","0","3","8","5","1","1","1","0"
"江東区","150","1","1","18","73","3","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","34","1","0","9","37","2","2","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","55","1","1","16","29","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","173","1","4","43","92","7","0","3","5","0","0","4","0","0","0","0","0","0","0","0","0","0","20","13","2","1","1","0"
"世田谷","230","0","2","65","84","2","0","3","9","0","1","1","1","0","0","0","0","0","0","0","0","0","25","16","2","2","2","0"
"渋谷区","42","0","0","3","21","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","4","1","7","4","1","1","1","0"
"中野区","124","0","0","9","82","1","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","119","0","0","14","43","6","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","16","10","1","2","2","0"
"池袋","55","0","1","9","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"北区","95","0","0","7","26","1","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","123","0","0","12","15","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","84","0","0","9","28","3","0","0","1","0","0","4","0","0","2","1","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","171","1","0","28","74","10","1","0","5","0","0","3","0","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","143","3","0","28","62","9","0","3","2","0","0","10","0","0","0","4","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","145","0","0","26","24","2","0","4","7","0","0","4","0","0","0","2","0","0","2","0","1","2","13","8","1","1","1","0"
"江戸川","170","2","3","28","72","2","0","1","7","0","0","5","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","283","5","5","29","83","0","0","2","6","0","0","10","1","0","0","0","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","153","0","0","41","51","2","12","1","2","0","0","3","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","145","0","0","5","35","1","1","1","2","0","0","9","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","163","0","0","16","34","1","0","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","220","3","1","34","49","4","0","1","4","0","0","3","0","0","0","2","0","0","0","0","0","1","21","14","2","1","1","0"
"多摩府中","390","1","3","19","66","8","0","2","11","0","1","23","2","0","0","0","0","0","2","0","0","4","32","20","3","3","3","0"
"多摩小平","246","0","7","58","58","3","0","7","6","0","0","2","0","0","0","2","0","0","0","0","0","3","23","15","2","2","2","0"
"島しょ","5","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","3860","25","31","589","1303","86","18","35","91","0","4","111","5","1","2","14","1","0","5","0","5","22","415","261","39","25","25","0"
