"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","16","10","0","0"
"1〜4歳","0","0","0","0","0","0","8","14","0","0"
"5〜9歳","0","0","0","0","0","0","4","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","9","3","1","7","0","0","3","0","0","0"
"20〜24歳","36","10","7","16","2","1","2","0","1","0"
"25〜29歳","39","13","11","20","3","2","0","0","0","0"
"30〜34歳","30","15","14","15","1","1","0","0","0","0"
"35〜39歳","19","12","10","18","0","0","1","0","0","0"
"40〜44歳","10","17","11","6","1","1","2","0","0","0"
"45〜49歳","11","8","4","4","1","2","3","0","0","0"
"50〜54歳","6","6","6","5","0","1","1","1","0","0"
"55〜59歳","4","1","2","0","0","0","6","0","0","0"
"60〜64歳","1","3","0","1","0","0","2","2","1","0"
"65〜69歳","0","3","1","1","0","0","7","5","0","0"
"70歳以上","0","3","0","0","1","0","48","7","2","0"
"合計","165","94","67","93","9","8","104","40","4","0"
