"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","7","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","44","8","0","1","18","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"1歳","0","0","0","2","73","17","2","2","11","0","0","2","0","2","2","0","0","0","0","0","0","0","0","0"
"2歳","3","0","1","1","68","21","2","0","1","0","1","1","0","10","0","0","0","0","0","0","0","0","0","0"
"3歳","2","0","1","5","70","13","1","1","0","0","0","1","0","9","2","0","0","1","0","0","0","0","0","0"
"4歳","3","0","1","5","85","18","1","5","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0"
"5歳","2","0","0","9","92","13","1","7","0","0","0","0","0","11","0","0","0","1","0","0","0","0","0","0"
"6歳","0","0","0","12","58","9","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","8","54","5","2","0","0","0","0","2","0","5","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","0","6","53","3","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","4","33","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0"
"10〜14歳","0","0","0","3","72","7","1","1","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","0","3","77","4","0","0","0","0","0","3","0","1","0","0","1","4","0","0","0","1","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","19","0","3","58","797","121","10","17","30","0","1","10","2","77","6","1","1","11","0","0","2","1","0","0"
