"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","26","0","0","0","8","1","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","41","0","0","1","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","32","5","2","14","26","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"新宿区","71","0","0","0","15","3","0","0","0","0","0","0","0","2","0","0","0","1","0","0","1","0","0","","","","","",""
"文京","57","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","49","1","0","3","18","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","71","0","0","2","8","3","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","65","0","0","1","15","5","0","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","78","0","0","0","28","5","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","27","0","0","1","16","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","129","0","1","5","55","1","2","4","4","0","0","1","0","5","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","105","0","1","0","36","5","1","1","2","0","0","0","0","2","0","0","0","0","1","0","0","0","0","","","","","",""
"渋谷区","36","0","0","1","25","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","108","0","0","4","33","2","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","74","0","0","4","31","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","31","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","88","0","0","2","14","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","74","0","1","3","13","3","0","2","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","54","0","0","1","7","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"練馬区","134","0","0","10","23","6","1","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","51","0","0","1","5","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","112","0","0","0","14","3","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","97","0","1","4","25","2","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","20","0","0","0","5","1","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"町田市","71","0","0","3","51","3","0","3","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","168","0","2","6","16","3","0","1","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","90","0","0","1","25","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","73","0","0","0","16","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","138","0","0","1","27","4","0","1","3","0","1","0","0","5","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","181","1","2","5","50","7","0","0","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2355","7","10","73","620","75","6","25","33","0","1","3","0","55","1","0","0","4","1","0","2","0","0","","","","","",""
