"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","17","8","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","7","10","1","0","0","7","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","7","26","10","0","1","4","1","5","0","0","9","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","1","47","12","4","8","19","0","0","0","0","13","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","2","20","4","4","1","3","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","8","13","9","0","4","19","0","1","0","0","18","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","13","63","5","1","0","3","0","1","0","0","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","3","37","12","0","5","19","0","4","0","1","16","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","8","24","4","1","5","17","0","1","0","1","26","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","5","26","4","0","3","6","0","0","0","2","16","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","15","49","39","10","9","42","1","7","1","2","58","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","17","87","20","1","14","47","3","3","0","1","59","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","20","2","2","0","11","0","1","0","1","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","2","54","3","0","17","28","1","2","0","0","37","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","2","62","5","0","5","20","2","1","0","2","10","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","3","44","8","1","1","7","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","4","60","8","0","7","14","1","3","1","0","34","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","18","23","23","2","7","10","0","0","0","1","26","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","7","35","7","1","10","18","4","3","0","1","14","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","15","77","14","1","10","28","3","0","1","2","77","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","1","59","23","5","0","24","0","4","0","2","36","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","8","21","4","0","2","27","1","0","0","2","13","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","4","70","15","3","4","36","0","1","0","1","41","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","7","54","18","2","17","62","1","9","0","2","93","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","0","27","1","0","5","23","1","4","0","1","50","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","3","18","2","0","1","13","0","1","0","1","11","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","42","7","2","7","14","0","5","0","1","31","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","3","55","21","0","16","27","1","7","0","0","47","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","16","109","33","5","16","63","1","5","0","6","104","0","2","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩小平","9","66","18","2","26","57","5","6","0","1","92","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","11","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","189","1326","342","48","202","675","26","75","3","32","968","9","7","2","0","1","0","0","0","0","0","0","","","","","",""
