"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","3","49","5","0","0","10","0","2","0","0","2","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
"〜1歳","8","80","24","5","2","73","1","11","0","13","13","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","25","139","28","45","5","138","2","56","1","29","37","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","12","98","13","35","15","109","1","45","1","10","31","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","22","77","6","34","24","95","1","39","2","2","32","0","0","1","0","2","0","0","0","0","0","2","0","0","1","0","0","1","1"
"4歳","17","73","3","32","35","64","3","17","0","1","23","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","19","85","1","24","50","63","2","17","1","2","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","35","86","0","15","43","50","5","6","1","1","9","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"7歳","23","85","0","9","23","44","2","3","2","0","7","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"8歳","29","97","1","10","14","27","5","4","0","1","5","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","22","106","1","4","15","22","3","2","0","0","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10〜14歳","88","518","1","5","28","73","4","2","0","0","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"15〜19歳","65","353","1","0","4","14","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","75","717","1","4","12","52","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","31","701","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","1","0"
"40〜49歳","54","855","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","26","826","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","14","476","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","7","323","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","1","0"
"80歳以上","1","212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","576","5956","85","222","270","834","29","206","8","59","181","2","12","3","0","22","0","1","1","0","0","12","0","0","1","0","0","11","1"
