"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","11","4","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","43","4","1","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","0","2","0","69","17","5","1","6","0","0","0","1","3","0","0","0","1","0","0","0","0","0","0"
"2歳","0","0","1","1","67","13","5","1","1","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0"
"3歳","1","0","0","4","53","11","0","2","0","0","0","1","1","6","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","0","67","19","4","2","0","0","0","1","0","11","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","3","8","60","7","2","4","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","1","9","24","4","0","2","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","5","38","1","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","6","21","1","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","4","19","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","2","0","0","2","26","5","1","3","0","0","0","0","0","5","1","0","0","2","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","0","2","105","0","1","1","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0"
"30〜39歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","11","0","8","42","615","86","20","19","40","0","0","2","2","78","3","0","0","12","0","0","0","0","0","0"
