"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","4","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"中央区","8","0","0","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","14","1","2","1","12","0","6","0","2","0","7","2","0","1","0","0","0","0","0","0","","","","","",""
"新宿区","32","0","0","0","12","2","3","0","1","0","1","0","6","0","0","3","0","0","0","0","","","","","",""
"文京","12","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","9","3","0","1","7","0","6","1","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","6","0","0","0","3","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","17","0","0","0","19","2","8","0","2","1","4","2","2","0","0","0","0","0","0","0","","","","","",""
"品川区","25","0","0","0","10","0","2","1","2","0","4","3","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","8","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","22","0","2","1","12","1","6","0","3","1","4","2","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","43","0","0","0","9","0","1","0","1","0","6","1","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","9","0","0","0","6","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","28","2","0","1","7","1","1","0","0","1","10","4","0","0","0","0","0","0","0","0","","","","","",""
"杉並","25","0","0","0","21","0","5","1","1","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"池袋","10","0","0","0","2","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","","","","","",""
"北区","13","0","0","3","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","4","4","0","0","2","0","3","0","1","0","1","0","0","0","0","1","0","0","0","0","","","","","",""
"板橋区","24","1","0","0","6","1","6","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","27","1","0","2","4","1","6","0","1","0","3","1","1","0","0","1","0","0","0","0","","","","","",""
"足立","16","0","0","1","8","1","2","0","0","0","1","3","0","0","0","1","0","0","0","0","","","","","",""
"葛飾区","35","0","0","1","6","0","3","1","0","0","4","3","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","48","0","0","0","6","1","7","3","3","0","11","2","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","34","1","0","5","20","2","5","2","3","0","4","3","1","0","0","0","0","0","0","0","","","","","",""
"町田市","13","0","0","7","18","1","4","2","2","0","12","6","1","0","0","0","0","0","0","0","","","","","",""
"西多摩","14","0","0","1","3","3","3","0","0","0","0","10","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","13","0","1","1","9","1","6","0","0","0","9","2","0","0","0","1","0","0","0","0","","","","","",""
"多摩立川","27","0","0","0","2","2","3","0","0","1","0","1","0","0","0","1","0","0","0","0","","","","","",""
"多摩府中","26","0","0","1","5","0","4","1","2","0","3","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","17","2","0","3","13","6","2","3","4","0","5","2","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","583","15","5","29","229","26","102","17","36","4","99","49","12","1","0","11","0","0","0","0","","","","","",""
