"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","17","3","0","0"
"1〜4歳","0","0","0","0","0","0","2","2","0","0"
"5〜9歳","0","0","0","0","0","0","4","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","10","2","2","3","0","0","0","0","0","0"
"20〜24歳","33","6","7","5","2","0","0","0","0","0"
"25〜29歳","34","11","7","3","2","0","0","0","0","0"
"30〜34歳","18","7","5","3","0","0","2","1","0","0"
"35〜39歳","5","3","2","5","1","0","0","0","0","0"
"40〜44歳","7","6","0","1","1","0","2","0","0","0"
"45〜49歳","4","2","0","0","0","0","2","0","0","0"
"50〜54歳","1","0","0","0","0","0","2","0","0","0"
"55〜59歳","0","1","0","0","0","0","1","0","0","0"
"60〜64歳","0","0","0","0","0","1","3","0","1","0"
"65〜69歳","0","0","0","0","1","0","3","0","0","0"
"70歳以上","0","0","0","0","0","1","17","7","0","0"
"合計","112","38","23","20","7","2","55","14","1","0"
