"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","27","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"中央区","25","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","115","0","1","4","18","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"新宿区","102","2","0","7","16","1","1","0","0","0","0","1","0","0","0","0","0","0","4","0","4","","","","","",""
"文京","83","1","0","2","6","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","","","","","",""
"台東","86","0","0","1","14","2","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","109","3","1","3","17","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","4","","","","","",""
"江東区","187","3","1","8","41","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","77","0","0","4","41","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","34","0","1","1","9","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","209","0","4","11","59","7","0","2","3","0","0","3","0","1","0","1","0","0","0","0","0","","","","","",""
"世田谷","295","3","1","11","58","4","3","1","6","0","0","3","0","0","0","0","0","0","0","0","1","","","","","",""
"渋谷区","55","0","0","0","11","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","3","","","","","",""
"中野区","113","1","0","5","35","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","162","0","1","1","35","4","1","0","3","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","89","0","0","1","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","114","0","0","3","23","3","0","0","1","0","0","3","0","0","0","1","0","0","0","0","0","","","","","",""
"荒川区","109","0","1","9","13","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","116","0","0","5","25","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"練馬区","218","0","1","3","35","5","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","252","0","0","6","47","6","0","0","3","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","231","0","0","1","32","1","2","0","3","0","0","1","0","0","0","1","0","0","2","0","1","","","","","",""
"江戸川","218","0","3","14","55","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","224","2","3","13","39","4","0","0","3","0","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"町田市","213","0","1","15","33","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","243","0","2","1","21","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"南多摩","200","2","2","10","27","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","314","0","0","20","60","8","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","388","6","6","28","51","6","0","1","4","0","0","4","0","0","0","0","0","1","1","0","9","","","","","",""
"多摩小平","279","3","1","15","45","6","0","1","5","0","0","0","1","0","0","0","0","0","2","0","1","","","","","",""
"島しょ","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4926","26","30","205","890","100","12","9","58","1","3","19","2","1","0","5","0","2","10","0","37","","","","","",""
