"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","58","0","0","31","3","1","0","2","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","5","79","1","2","191","7","0","1","45","0","4","0","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","0","118","16","15","543","13","11","9","72","0","2","3","7","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2歳","4","53","18","29","380","20","6","9","14","0","2","6","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"3歳","2","27","11","61","303","19","7","10","4","1","1","6","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0"
"4歳","5","9","23","107","302","28","7","23","3","0","0","24","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"5歳","8","4","16","130","263","31","4","20","1","0","1","21","1","1","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0"
"6歳","5","0","10","107","182","32","0","15","1","0","2","19","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","3","0","6","89","140","24","2","17","0","0","0","28","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"8歳","7","1","6","82","116","17","1","4","0","0","0","16","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"9歳","4","1","2","76","79","8","0","5","0","1","0","13","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","1"
"10〜14歳","13","0","7","109","193","11","1","8","0","0","0","13","0","0","0","2","0","0","13","0","0","1","0","0","0","0","0","1","0"
"15〜19歳","3","0","0","7","54","0","0","0","0","0","1","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","5","0","5","34","340","0","2","3","0","0","1","6","0","0","0","4","0","1","1","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","1","1","0","0","0","0","0","0","0","0","0"
"40〜49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"合計","79","350","121","848","3117","213","42","124","142","2","15","155","13","6","1","29","2","1","40","2","2","2","1","0","1","0","0","1","1"
