"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","9","3","0"
"1〜4歳","0","0","0","0","0","0","3","14","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","2","0","0","0","0","0","0","0","0"
"15〜19歳","6","0","1","3","0","0","1","0","1"
"20〜24歳","17","6","4","11","0","0","2","0","0"
"25〜29歳","29","2","4","19","0","1","1","1","0"
"30〜34歳","20","3","7","18","0","0","1","0","0"
"35〜39歳","16","4","2","9","0","1","4","0","0"
"40〜44歳","6","2","5","5","0","0","3","0","0"
"45〜49歳","5","1","0","2","0","0","2","0","0"
"50〜54歳","6","1","1","5","0","0","3","0","0"
"55〜59歳","6","4","0","0","0","0","11","1","3"
"60〜64歳","2","2","0","1","0","0","11","3","1"
"65〜69歳","2","1","0","1","0","0","12","2","2"
"70歳以上","0","3","0","0","0","0","35","4","3"
"合計","117","29","24","74","0","2","98","28","10"
