"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","3","23","0","0","8","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","12","66","4","0","47","0","11","0","5","64","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","4","21","112","14","5","94","0","14","1","13","248","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","3","9","63","13","20","74","1","31","0","3","173","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","3","9","45","9","31","96","1","19","1","3","176","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","8","11","26","9","35","108","0","14","1","1","151","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","11","9","15","4","44","72","4","12","0","0","105","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","16","9","2","4","27","74","4","4","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","24","7","1","3","31","64","2","4","0","0","24","1","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","1","0"
"8歳","18","11","3","1","14","52","2","3","0","0","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","22","14","0","0","9","41","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","54","142","2","1","21","60","5","0","0","0","14","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","24","137","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","6","180","0","1","9","35","1","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","7","170","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","11","162","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","6","174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","4","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","223","1252","358","63","247","835","22","113","3","25","1047","11","11","1","0","3","0","0","0","0","0","2","1","1","0","0","0","1","0"
