"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","97","91","188","55"
"性器ヘルペスウイルス感染症","66","44","110","55"
"尖圭コンジローマ","49","30","79","55"
"淋菌感染症","64","10","74","55"
"膣トリコモナス症","0","11","11","55"
"梅毒様疾患","7","1","8","55"
"メチシリン耐性黄色ブドウ球菌感染症","50","24","74","24"
"ペニシリン耐性肺炎球菌感染症","26","25","51","24"
"薬剤耐性緑膿菌感染症","0","0","0","24"
