"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","4","0","0"
"1〜4歳","0","0","0","0","0","0","8","14","0","0"
"5〜9歳","0","0","0","0","0","0","1","2","0","0"
"10〜14歳","1","0","0","0","0","0","3","0","0","0"
"15〜19歳","10","4","2","2","1","0","0","0","0","0"
"20〜24歳","42","12","12","20","1","1","0","1","0","0"
"25〜29歳","40","12","16","20","0","1","2","0","0","0"
"30〜34歳","45","21","16","18","1","2","1","3","0","0"
"35〜39歳","22","17","9","14","2","0","3","1","0","0"
"40〜44歳","13","9","10","9","0","0","0","0","0","0"
"45〜49歳","10","8","8","6","1","0","2","1","0","0"
"50〜54歳","8","9","3","1","1","1","1","1","0","0"
"55〜59歳","3","4","1","1","0","0","3","1","0","0"
"60〜64歳","0","3","2","1","0","0","6","1","0","0"
"65〜69歳","1","3","0","0","0","0","5","2","0","0"
"70歳以上","0","8","1","0","0","0","43","11","0","0"
"合計","195","110","80","92","7","5","85","42","0","0"
