"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","0","3","794","16","0","0","17","0","2","0","0","3","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"〜1歳","0","12","*","17","1","0","78","4","11","0","4","25","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"1歳","1","39","4369","44","16","10","131","3","30","2","26","93","0","10","1","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"2歳","1","10","*","12","5","19","81","5","17","5","7","57","1","3","3","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"3歳","6","10","*","2","4","25","57","2","7","8","6","28","0","4","0","0","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"4歳","4","7","*","1","3","32","69","3","6","9","1","20","2","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","7","5","2378","0","2","48","63","6","5","10","0","15","3","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","8","7","*","1","3","43","58","3","5","8","0","12","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","3","11","*","0","0","37","56","6","2","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","3","9","*","0","0","29","38","10","2","8","0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"9歳","4","7","*","0","3","16","29","11","2","2","0","2","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"10〜14歳","10","44","961","1","1","26","76","22","2","5","0","4","1","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"15〜19歳","6","40","300","0","0","2","7","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","3","101","385","0","4","6","32","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","10","86","469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"40〜49歳","11","101","431","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"50〜59歳","3","120","402","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1"
"60〜69歳","2","87","245","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","4"
"70〜79歳","1","71","220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","7"
"80歳以上","1","50","129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","27","0","0","0","0","0","1","0","0","0","27"
"合計","84","820","11083","94","42","293","792","77","91","61","44","264","10","28","5","0","12","0","2","8","0","0","1","54","0","0","0","0","0","1","0","2","0","52"
