"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","2","2","0","8","3","2","0","1","0","4","0","1","0","0","0","0","0","0","0"
"〜1歳","0","6","2","0","53","9","26","0","40","0","67","0","0","0","0","0","0","0","0","0"
"1歳","0","2","6","6","77","24","155","2","46","0","277","14","6","3","0","1","0","0","0","0"
"2歳","1","0","8","13","48","20","106","6","8","0","253","11","6","1","0","0","0","0","1","0"
"3歳","0","0","11","12","59","31","88","12","0","0","248","21","4","0","0","0","0","0","1","0"
"4歳","0","0","7","28","61","27","75","11","0","0","206","33","2","0","0","0","0","0","0","0"
"5歳","0","0","5","33","46","25","52","16","0","0","123","25","2","0","0","0","0","0","0","0"
"6歳","1","0","2","21","39","13","35","18","0","0","66","24","1","0","0","0","0","0","0","0"
"7歳","0","0","3","18","27","4","10","9","1","1","35","12","0","0","0","0","0","0","1","0"
"8歳","1","0","2","17","25","6","12","9","0","2","12","11","0","0","0","0","0","0","0","0"
"9歳","0","0","1","8","22","4","6","6","0","1","8","7","0","0","0","0","0","0","0","0"
"10〜14歳","3","0","2","12","49","6","10","3","0","1","17","11","0","0","0","0","0","0","2","0"
"15〜19歳","3","0","0","0","5","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0"
"20〜29歳","4","0","2","8","68","1","7","2","0","11","7","3","0","0","0","6","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","18","10","53","176","587","173","584","94","96","17","1325","173","22","4","1","15","0","0","5","0"
