"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","7","3","4","18","89","12","0","0","1","3","0","3","0","0","0","2","0","0","1","0","2","","","","","",""
"区南部","13","6","4","16","171","20","1","0","3","0","1","4","1","0","0","0","0","0","1","0","0","","","","","",""
"区西南部","13","2","10","6","119","8","1","0","4","0","0","2","1","0","0","2","1","0","1","0","2","","","","","",""
"区西部","6","1","1","15","118","19","2","0","1","0","0","5","0","0","0","1","0","1","3","0","0","","","","","",""
"区西北部","24","2","1","3","172","29","1","1","8","1","0","2","0","1","0","0","0","0","1","0","0","","","","","",""
"区東北部","35","7","6","20","207","29","2","1","8","1","0","0","0","0","0","2","0","0","8","0","1","","","","","",""
"区東部","32","9","9","25","215","41","2","2","5","1","0","3","1","0","0","0","0","1","2","0","0","","","","","",""
"西多摩","2","1","0","6","38","6","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"南多摩","8","4","3","30","276","36","4","1","4","0","0","7","5","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","5","3","0","9","71","11","2","1","4","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"北多摩南部","1","2","2","14","92","25","1","6","2","1","0","1","2","0","0","0","0","1","2","0","2","","","","","",""
"北多摩北部","10","5","4","15","136","14","0","0","6","0","2","1","2","1","0","0","0","0","1","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"合計","156","45","44","178","1704","250","17","14","47","7","3","31","12","3","0","8","1","3","22","0","7","","","","","",""
