"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","10","15","0","0","21","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","11","15","15","1","115","2","4","1","27","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","11","14","32","30","3","182","1","17","1","58","21","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","10","10","16","22","18","157","3","10","2","15","17","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","18","10","7","18","27","137","0","5","1","6","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","21","9","7","17","35","142","8","2","0","6","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","28","8","1","9","43","145","4","2","1","0","5","5","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6歳","30","6","0","2","47","109","5","2","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","38","7","1","2","36","109","5","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","28","12","0","0","19","73","7","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","17","11","0","1","16","55","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10〜14歳","67","59","0","2","29","134","12","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","46","106","1","0","1","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","21","182","0","4","18","117","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","20","137","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","19","128","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","4","131","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","9","67","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","5","52","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","397","996","95","122","293","1532","49","44","8","114","64","9","15","3","2","10","0","0","1","0","0","2","0","0","0","0","0","2","0"
