"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","1","1","0","0"
"1〜4歳","0","0","0","0","0","0","3","2","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","6","0","3","1","1","0","1","0","0","0"
"20〜24歳","18","4","11","4","1","1","0","0","0","0"
"25〜29歳","10","4","8","2","1","0","0","0","0","0"
"30〜34歳","11","10","5","2","0","1","0","0","0","0"
"35〜39歳","7","2","1","2","0","0","1","0","0","0"
"40〜44歳","4","4","1","0","0","0","0","0","0","0"
"45〜49歳","1","3","1","1","0","0","0","0","0","0"
"50〜54歳","0","0","0","0","0","1","1","0","0","0"
"55〜59歳","1","0","0","0","0","0","0","0","0","0"
"60〜64歳","0","0","0","0","0","0","4","1","0","0"
"65〜69歳","0","0","0","0","0","0","3","0","0","0"
"70歳以上","0","0","0","0","0","0","17","1","0","0"
"合計","58","27","30","12","3","3","33","5","0","0"
