"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","1","4","8","63","17","2","1","7","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"区南部","2","1","3","13","117","22","4","1","3","1","3","4","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","1","1","6","50","10","1","2","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"区西部","2","0","1","13","85","4","1","3","7","0","0","2","0","0","0","3","0","0","1","0","","","","","",""
"区西北部","0","0","3","8","51","7","3","0","0","0","2","4","2","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","2","15","50","3","6","9","1","0","0","11","2","0","1","1","0","0","0","0","","","","","",""
"区東部","1","0","1","14","62","11","5","6","8","0","2","6","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","2","9","3","3","0","1","0","0","1","0","0","0","2","0","0","0","0","","","","","",""
"南多摩","1","3","0","27","124","14","0","4","7","0","2","14","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","1","0","0","3","17","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","0","18","27","9","0","2","4","0","0","5","0","0","0","0","0","1","0","0","","","","","",""
"北多摩北部","0","1","0","9","32","5","0","1","5","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"合計","7","7","15","136","687","109","25","30","45","1","11","59","5","0","1","6","0","1","1","0","","","","","",""
