"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","0","0","2","0","19","0","0","0","1","0","2","1","0","0","0","1","0","0","0","0","0","0","4","2","1","0","0","0"
"みなと","0","1","13","14","52","0","3","0","3","1","3","6","0","0","0","0","0","0","0","1","0","0","9","6","0","1","1","0"
"新宿区","0","4","4","12","25","2","2","0","7","0","2","1","1","2","0","1","0","0","0","0","1","0","12","8","2","2","2","0"
"文京","0","0","3","17","20","1","0","0","4","0","4","1","0","0","0","3","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","0","0","17","9","38","1","32","3","9","0","8","1","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","1","0","2","12","11","1","2","0","4","0","0","3","0","0","0","0","0","0","1","0","0","0","8","5","1","1","1","0"
"江東区","1","0","4","24","123","3","2","3","2","0","5","13","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","0","0","3","5","57","6","1","1","8","0","13","5","0","0","0","1","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","0","1","3","11","53","0","0","2","7","0","8","2","3","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","13","2","19","53","94","5","5","11","12","1","2","14","2","0","0","3","0","0","0","0","0","0","19","12","2","1","1","0"
"世田谷","2","3","24","128","119","10","1","2","11","1","12","10","1","0","0","0","1","0","0","0","0","0","25","16","2","2","2","0"
"渋谷区","0","0","0","5","11","1","0","1","3","0","1","0","0","0","0","0","0","0","1","0","0","0","7","4","1","1","1","0"
"中野区","0","6","17","23","85","8","1","4","10","0","0","3","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","0","0","8","39","99","11","4","2","8","0","2","0","2","0","0","0","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","0","1","6","6","8","0","0","1","0","0","0","3","0","0","0","0","0","0","1","0","0","0","7","4","1","1","1","0"
"北区","1","0","2","14","39","2","6","4","4","1","0","2","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","6","0","9","16","27","1","1","1","3","0","4","1","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","0","0","3","16","36","7","1","2","5","0","0","2","2","0","0","1","0","0","0","0","0","0","15","9","2","1","1","0"
"練馬区","1","0","4","55","85","2","0","5","18","0","2","3","1","0","0","3","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","0","4","10","59","102","11","0","1","14","0","3","15","0","0","0","4","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","0","1","1","22","81","6","7","1","10","0","3","6","1","0","0","0","0","0","2","0","1","0","13","8","1","1","1","0"
"江戸川","1","1","16","12","99","5","0","2","10","0","1","6","1","1","0","2","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","0","0","19","47","133","4","0","4","12","0","0","18","3","1","0","0","0","0","0","1","0","0","18","11","2","1","1","0"
"町田市","0","2","4","36","100","6","2","1","6","0","3","4","3","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","0","0","8","22","39","2","1","2","0","1","2","3","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","0","0","4","23","83","5","0","0","6","1","5","6","1","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","1","0","4","52","71","7","1","3","5","0","6","12","0","1","0","3","0","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","0","1","16","72","119","13","5","6","18","0","9","15","4","0","0","0","0","0","1","0","0","0","32","20","3","3","3","0"
"多摩小平","0","0","35","85","84","9","2","2","9","0","2","18","0","0","0","2","0","1","2","0","0","0","23","15","2","2","2","0"
"島しょ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","27","27","260","892","1913","129","79","64","209","6","103","174","25","5","0","24","1","1","8","2","2","0","413","259","39","25","25","0"
