"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","18","1","691","9","0","0","8","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","42","1","*","7","0","0","31","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0"
"1歳","228","10","4574","7","4","4","84","1","6","2","14","1","0","1","1","0","0","0","0","0","0","1","7","0","1","0","1","0","0","5","1","0","0","0"
"2歳","296","2","*","4","4","10","52","0","1","1","10","2","0","2","2","0","1","0","0","0","0","0","7","0","2","2","3","0","2","4","3","0","0","0"
"3歳","350","5","*","0","1","19","59","2","2","3","1","2","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"4歳","512","5","*","0","2","28","48","5","2","8","0","1","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"5歳","600","5","5209","0","3","28","38","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","4","0","0","0","0"
"6歳","616","8","*","0","0","29","59","4","0","2","0","0","1","0","0","0","0","0","0","1","0","0","6","0","1","1","0","0","0","5","0","0","0","0"
"7歳","573","5","*","0","1","27","44","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","4","0","1","0","2","1","1","2","2","0","0","0"
"8歳","545","6","*","1","0","31","29","3","0","1","0","3","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","488","3","*","2","0","30","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"10〜14歳","1838","5","3063","1","0","42","78","8","2","1","0","1","0","0","0","0","0","0","0","3","0","0","5","0","0","0","0","0","0","5","0","0","0","0"
"15〜19歳","723","7","1289","0","0","6","19","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"20〜29歳","546","22","1035","0","0","15","83","1","0","1","0","0","0","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","524","19","1292","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"40〜49歳","586","28","1366","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"50〜59歳","285","34","926","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"60〜69歳","137","19","539","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"70〜79歳","81","22","442","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","1","0","0","0","0","1","6","1","0","0","1"
"80歳以上","31","26","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","16","8","0","1","1","0","0","14","1","0","0","8"
"合計","9019","233","20676","31","15","269","673","31","17","22","28","11","4","7","3","1","9","0","2","8","0","1","70","12","6","5","7","1","4","58","8","0","0","12"
