"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","2","0","0","0","0","11","0","1","4","0","0","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","0","12","0","9","37","0","42","0","1","8","0","0","0","0","1","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","3","17","3","12","11","1","55","0","2","12","1","0","0","0","0","0","0","2","1","0","0","9","6","0","1","1","0"
"新宿区","0","27","3","11","36","2","57","0","3","18","0","0","0","0","0","0","0","1","0","0","0","12","8","1","2","2","0"
"文京","0","2","2","3","9","1","61","0","4","9","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","0","24","1","4","20","2","103","2","0","42","1","1","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","1","6","0","2","13","0","58","0","1","22","0","4","0","0","0","1","0","1","0","0","0","8","5","1","1","1","0"
"江東区","1","50","1","16","52","8","98","0","7","26","0","1","1","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","2","5","1","10","27","3","84","2","2","23","2","2","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","3","10","0","8","26","0","60","0","1","4","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","1","39","10","34","58","7","188","7","6","44","2","2","0","0","2","0","0","0","0","0","0","19","12","2","1","1","0"
"世田谷","2","40","8","13","47","7","137","3","8","41","2","0","0","0","1","1","1","0","0","0","2","24","16","2","2","2","0"
"渋谷区","1","0","0","0","9","0","20","0","3","6","0","1","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"中野区","0","15","1","14","17","4","115","1","2","18","0","0","0","0","1","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","4","17","7","9","41","2","72","2","5","26","1","0","1","0","1","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","0","29","1","1","9","0","24","0","1","2","0","0","0","0","3","0","0","1","1","0","0","6","4","1","1","1","0"
"北区","0","1","0","3","20","2","70","1","5","26","0","1","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","2","11","2","9","16","1","86","10","5","25","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","4","9","2","5","17","0","65","2","2","21","0","3","0","0","0","0","0","0","0","0","1","16","10","2","1","1","0"
"練馬区","0","29","3","19","45","10","125","9","8","70","0","0","0","0","2","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","3","35","0","10","44","2","160","2","5","47","0","0","0","0","2","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","2","3","0","6","47","0","62","1","3","18","1","2","0","0","1","0","0","0","0","0","0","13","8","1","1","1","0"
"江戸川","5","32","4","20","28","2","57","10","2","26","1","3","0","0","1","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","0","30","3","34","64","6","220","3","5","120","2","1","0","0","0","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","15","3","2","12","33","4","102","0","3","38","0","1","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","0","1","2","6","26","3","86","0","1","22","0","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","0","7","3","7","25","2","167","1","3","44","0","0","0","0","0","0","0","0","0","0","0","13","9","1","0","0","0"
"多摩立川","0","14","1","8","28","3","205","7","2","52","0","1","0","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","1","33","7","22","54","4","328","10","13","72","3","13","0","0","1","0","0","0","0","0","0","30","19","3","3","3","0"
"多摩小平","5","57","15","31","41","10","286","3","9","39","2","1","0","0","0","0","0","0","0","0","0","22","14","2","2","2","0"
"島しょ","0","0","0","0","0","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","55","560","82","338","900","86","3209","76","113","927","18","37","2","0","16","2","1","5","2","0","3","409","259","38","25","25","0"
