"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","4","0","0","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","9","0","0","0","24","5","0","0","18","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"1歳","62","0","1","1","68","9","1","1","14","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"2歳","70","0","3","3","43","10","1","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"3歳","75","0","2","6","37","9","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"4歳","76","0","2","10","27","5","1","4","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0"
"5歳","96","0","0","10","28","7","1","2","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0"
"6歳","73","0","0","8","26","2","0","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"7歳","78","0","0","7","17","1","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"8歳","50","0","1","5","16","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","48","0","0","5","15","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"10〜14歳","110","0","1","4","21","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0"
"15〜19歳","27","0","0","1","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","90","1","1","9","63","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0"
"30〜39歳","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"40〜49歳","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"80歳以上","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1188","1","11","69","394","52","4","16","35","0","0","1","0","42","3","0","0","4","0","1","0","0","0"
