"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","4","0","0","12","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","0","0","0","2","11","4","0","0","3","0","0","0","0","0","0","1","0","0","0","0","4","3","1","0","0","0"
"みなと","11","4","2","10","53","8","1","1","5","0","0","4","0","1","0","0","0","1","0","0","8","6","0","1","1","0"
"新宿区","1","7","0","10","39","2","1","0","1","0","0","1","1","0","0","1","0","1","1","0","9","6","2","2","2","0"
"文京","2","8","0","2","27","14","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","3","1","1","1","0"
"台東","1","2","1","4","40","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0"
"墨田区","0","1","1","3","28","5","1","3","2","0","0","2","0","0","0","0","0","0","0","0","6","3","1","1","1","0"
"江東区","10","0","0","15","97","12","0","1","3","0","0","5","1","0","0","0","0","0","0","0","9","4","1","0","0","0"
"品川区","15","0","0","10","66","6","0","0","3","0","0","0","0","0","0","1","0","0","0","0","10","6","1","0","0","0"
"目黒区","1","0","0","1","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","1","0","0","0"
"大田区","13","11","7","14","121","24","0","2","11","0","1","4","1","0","0","1","0","0","0","0","16","9","2","1","1","0"
"世田谷","9","3","1","14","91","10","0","1","2","0","0","4","0","0","0","0","0","0","0","0","16","8","2","1","2","0"
"渋谷区","1","0","0","2","38","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","6","4","1","1","1","0"
"中野区","14","3","1","10","91","3","0","4","2","0","0","1","0","0","0","0","0","0","0","0","9","6","1","1","1","0"
"杉並","3","0","0","9","56","3","0","2","3","0","0","5","0","0","0","0","0","0","0","0","12","6","1","1","1","0"
"池袋","5","1","0","2","20","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"北区","10","0","0","4","39","6","2","0","2","0","0","0","1","0","0","0","0","0","0","0","8","4","1","0","0","0"
"荒川区","2","0","0","3","32","2","0","2","2","0","0","0","0","0","0","1","0","0","0","0","4","2","1","0","0","0"
"板橋区","3","0","0","5","26","9","0","2","0","0","0","2","0","0","0","0","0","0","0","0","12","6","2","1","1","0"
"練馬区","5","0","2","4","82","8","0","1","4","1","0","8","1","0","0","0","0","0","0","0","12","5","2","0","0","0"
"足立","5","0","1","13","47","7","0","2","2","0","1","1","1","0","3","2","0","0","0","0","12","5","2","0","0","0"
"葛飾区","8","0","0","7","41","6","0","4","3","0","2","10","0","0","1","0","0","0","7","0","9","4","1","1","1","0"
"江戸川","6","5","0","21","105","20","0","3","4","0","0","7","0","0","0","1","0","0","0","0","12","5","2","0","0","0"
"八王子市","2","4","1","31","112","34","0","6","1","0","0","8","0","0","0","0","0","0","0","0","10","4","2","1","1","0"
"町田市","11","2","0","17","93","26","0","0","5","0","0","12","1","0","0","0","0","0","0","0","9","4","1","0","0","0"
"西多摩","5","1","1","10","63","5","0","0","1","0","0","13","0","0","0","0","0","0","0","0","9","5","1","1","1","0"
"南多摩","5","9","0","9","47","2","0","1","0","0","1","5","0","1","0","0","0","0","0","0","9","4","1","0","0","0"
"多摩立川","7","0","2","2","34","6","0","0","4","0","0","2","0","0","0","0","0","0","0","0","13","6","2","1","1","0"
"多摩府中","4","1","0","28","30","11","1","1","7","0","0","6","0","0","1","1","1","0","0","0","19","9","3","3","3","0"
"多摩小平","17","11","4","24","67","24","1","0","4","0","2","8","0","0","0","0","0","0","0","0","14","6","2","1","2","0"
"島しょ","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","179","77","24","286","1627","271","8","38","82","1","7","108","7","3","5","10","1","2","8","0","287","148","39","23","25","0"
